created_at,entry_id,field1,field2,latitude,longitude,elevation,status
2022-02-15T09:47:41+08:00,84,8.10,"91.60

",,,,
2022-02-15T09:48:03+08:00,85,8.00,"91.60

",,,,
2022-02-15T09:48:22+08:00,86,8.10,"91.60

",,,,
2022-02-15T09:48:40+08:00,87,8.00,"91.60

",,,,
2022-02-15T09:49:06+08:00,88,8.00,"91.50

",,,,
2022-02-15T09:49:24+08:00,89,8.00,"91.50

",,,,
2022-02-15T09:49:43+08:00,90,8.00,"91.50

",,,,
2022-02-15T09:50:02+08:00,91,8.10,"91.50

",,,,
2022-02-15T09:50:24+08:00,92,8.00,"91.50

",,,,
2022-02-15T09:50:46+08:00,93,8.10,"91.50

",,,,
2022-02-15T09:51:08+08:00,94,8.10,"91.50

",,,,
2022-02-15T09:51:30+08:00,95,8.10,"91.50

",,,,
2022-02-15T09:51:52+08:00,96,8.10,"91.50

",,,,
2022-02-15T09:52:11+08:00,97,8.10,"91.50

",,,,
2022-02-15T09:52:29+08:00,98,8.10,"91.50

",,,,
2022-02-15T09:52:45+08:00,99,8.10,"91.50

",,,,
2022-02-15T09:53:03+08:00,100,8.10,"91.50

",,,,
